"X60410","X60430","X60434","X60512","X61104","X61402","X61502","X61603","X62601","X63001","X65001","X65101","year","month","day"
4.211,2.842,3.105,3.684,6.579,3.158,3.789,3.263,4.632,5.5,2.684,2.684,2009,6,27
6.789,6.474,6.526,7.579,4.737,6.895,6.947,6.421,8.474,7.316,6.684,4.842,2009,6,28
9.895,7,5.842,5.526,5.526,6.263,6,5.105,5.684,5.316,6.105,6,2009,6,29
5.316,3.105,2.474,2.316,5.263,2.684,0.895,2.526,3.211,2.368,2.421,3.211,2009,6,30
5.895,3.316,2.684,3.316,3.947,4.158,2.368,2.368,4.316,3.579,1.947,2.474,2009,7,1
5.895,5.842,5.368,3.684,5.053,2.263,2.105,3,2.421,4,2.789,3.474,2009,7,2
2.316,2.158,1.842,1.737,3.158,1.895,2.684,1.263,2.368,1.474,2.316,1.789,2009,7,3
1.526,0.684,0.632,0.263,0.737,0.474,0.526,0.526,0.526,1.105,0.632,0.474,2009,7,4
6.316,7.526,6.368,6.632,3.632,9.842,6.263,6.789,9.263,7.158,3.789,4.263,2009,7,5
7.316,5.579,4.053,3.263,4,3.579,4.579,3.211,4.368,5.053,3.789,3.368,2009,7,6
2.105,2.368,2,1.842,0.684,1.947,1.789,0.895,1.737,2.474,1.105,0.947,2009,7,7
5.368,4.368,9.077,2.526,2.158,2.737,2.316,2.789,2.737,3.684,3.316,3.316,2009,7,8
4,4,7.105,9.368,4,6.368,3.737,4.632,5.211,5.789,3.737,3.474,2009,7,9
10.842,10.895,10.526,11.053,9.842,12.368,12.632,9.947,14.263,7.579,10.263,10.842,2009,7,10
15.737,14.579,16.579,13.579,14.053,12.737,12.684,13.789,16.263,14.737,16.105,16.789,2009,7,11
1.842,1.632,2.421,1.263,1.368,1.737,1.684,1.789,1.737,2.105,2.158,1.158,2009,7,12
2.737,3.474,3.158,1.421,1.632,1.789,1.947,1.684,2.684,2.789,2.789,1.789,2009,7,13
2.947,2.842,3.105,1.789,1.526,1.632,2.368,2.105,2.632,2.316,2,1.684,2009,7,14
6.684,6.158,6.842,7.316,3.684,6.474,7.421,4.263,5.579,6.211,6.579,4.632,2009,7,15
6.526,7.105,7.632,9.053,4.579,9.789,7.368,7.684,8.895,9.737,6.421,5.263,2009,7,16
6.684,7,6.684,6,4.947,5.158,6.526,6.158,5.105,6.632,5.474,5.579,2009,7,17
1.947,2.211,2.316,1.105,2.421,2.053,1.632,2.211,2.737,2.421,1.526,1.474,2009,7,18
3.211,3.316,3.421,1.579,1.632,2.421,2.632,2.895,2.684,2.947,1.684,1.684,2009,7,19
5,5.263,5,10.737,3.158,5.474,5.895,5,4.895,6.316,4.368,4.158,2009,7,20
5.842,7.158,7.053,11.053,3.421,9.842,9.737,6.105,9.316,6.947,5.421,4.421,2009,7,21
5.579,5.684,6.105,7.158,5.684,11.842,10.105,6.158,5.667,6.316,7.421,6,2009,7,22
7.947,5.895,4.684,5.895,8.579,5.684,4.737,3.947,7.578,4.947,3.579,3.368,2009,7,23
5.737,6.474,6.211,8.842,4.105,9.421,6.947,6,9.8,8.263,5.789,3.737,2009,7,24
13.579,14,13.684,13.842,12.368,11.895,13.211,13.579,13,14.158,13.105,13.158,2009,7,25
6.684,5.895,6.158,6.684,7.842,5.105,6.158,5.789,7.316,6.263,5.842,4.684,2009,7,26
5.263,5.474,5.421,5.368,5.105,5.737,5.737,4.789,5.789,4.842,4.947,3.842,2009,7,27
13.368,11.368,12,11.263,11.368,11.474,11.421,11,11.263,11.579,11.789,9.474,2009,7,28
12.316,11.632,10.842,14.316,12.105,8.842,8.684,9.421,13.421,9.421,8.368,7.368,2009,7,29
6.105,7.947,7.947,7.421,3.947,6.421,6.684,6.895,6.737,8.105,4.474,4.579,2009,7,30
9.737,9.316,10,13.105,8.158,13.474,8.737,8.947,13.105,12.789,8.526,7.474,2009,7,31
8.316,8.684,8.895,7.947,6.895,8.947,6.579,7.895,8.684,8.316,7,6.632,2009,8,1
9.947,7.105,8.526,8.368,8.263,8,6.211,8,8.789,7.684,5.526,6.368,2009,8,2
7.579,7.105,6.421,6.579,4.421,7.136,6.158,6.474,6.947,6.684,5.632,4.895,2009,8,3
15.579,13.842,14.737,17.211,15.316,16.053,15.526,15.105,17.684,16.474,15.789,15.158,2009,8,4
1.842,2.474,1.474,1.632,1.263,1.158,1.263,1.211,1.105,1.526,1.684,1.316,2009,8,5
3.263,3.316,2.474,3.789,1.947,3.895,3.421,2.316,3.421,3.211,2.105,2.526,2009,8,6
4.158,4.368,3.211,3.105,1.789,4.368,2.579,2.842,3.789,3,1.789,2.474,2009,8,7
5.105,5.579,4.789,8.368,4.526,7.158,6.737,4.895,6.632,5.579,5.263,4.842,2009,8,8
15.421,17.053,17.737,18.158,14.579,17.579,18.737,18.789,23.579,17.579,16.474,18.263,2009,8,9
