"year","month","day","hour","tempf","humidity","solarradiation","hourlyrainin","windspeedmph"
2021,4,2,16,52.5,28.9166666666667,533.0575,0,1.34166666666667
2021,4,2,17,51.8,27.6666666666667,400.618333333333,0,0.875
2021,4,2,18,51.6583333333333,26.9166666666667,249.83,0,0.625
2021,4,2,19,47.6333333333333,28,93.7891666666667,0,1.225
2021,4,2,20,44.8083333333333,31.5,12.1091666666667,0,0.608333333333333
2021,4,2,21,41.6333333333333,37.4166666666667,0.131666666666667,0,0.0333333333333333
2021,4,2,22,38.7333333333333,43,0,0,0.116666666666667
2021,4,2,23,37.35,46.4166666666667,0,0,0
2021,4,2,24,36.2416666666667,49.25,0,0,0
2021,4,3,1,34.5583333333333,52.9166666666667,0,0,0
2021,4,3,2,32.5583333333333,58.0833333333333,0,0,0
2021,4,3,3,30.725,63.5833333333333,0,0,0
2021,4,3,4,31.2333333333333,64.5,0,0,0
2021,4,3,5,32.1333333333333,62.6666666666667,0,0,0.0166666666666667
2021,4,3,6,33.2,62.4166666666667,0,0,0.0333333333333333
2021,4,3,7,35.8833333333333,56.6666666666667,0,0,0.858333333333333
2021,4,3,8,38.675,51.5,2.72083333333333,0,0.783333333333333
2021,4,3,9,40.15,49.6666666666667,30.8066666666667,0,0.858333333333333
2021,4,3,10,42.8666666666667,48.1666666666667,83.6241666666667,0,1.775
2021,4,3,11,48.7833333333333,42.75,132.7825,0,1.93333333333333
2021,4,3,12,57.1833333333333,37.4166666666667,542.4675,0,1.83333333333333
2021,4,3,13,61.4,35.4166666666667,615.685,0,2.15
2021,4,3,14,64.6083333333333,35.6666666666667,598.355,0,2.3
2021,4,3,15,66.8166666666667,35.5,589.343333333333,0,2.20833333333333
2021,4,3,16,68.775,34.6666666666667,503.7175,0,2.34166666666667
2021,4,3,17,70.4416666666667,32.9166666666667,375.466666666667,0,2.13333333333333
2021,4,3,18,70.7333333333333,32.5833333333333,224.72,0,2.175
2021,4,3,19,68,35.5833333333333,90.4966666666667,0,1.36666666666667
2021,4,3,20,64.3416666666667,39.6666666666667,13.925,0,1.13333333333333
2021,4,3,21,57.8166666666667,48.0833333333333,0.131666666666667,0,0
2021,4,3,22,51.6083333333333,60.75,0,0,0
2021,4,3,23,48.9833333333333,68.5,0,0,0
2021,4,3,24,46.9333333333333,71.9166666666667,0,0,0
2021,4,4,1,44.5833333333333,76.8333333333333,0,0,0
2021,4,4,2,42.8833333333333,81.75,0,0,0
2021,4,4,3,42.9,80.4166666666667,0,0,0
2021,4,4,4,42.7166666666667,80.5833333333333,0,0,0
2021,4,4,5,42.4083333333333,80.4166666666667,0,0,0
2021,4,4,6,43.4833333333333,77.3333333333333,0,0,0
2021,4,4,7,41.775,80.6666666666667,0,0,0
2021,4,4,8,38.3416666666667,88.5,3.435,0,0
2021,4,4,9,43.4833333333333,81.75,58.6275,0,0.0166666666666667
2021,4,4,10,52.2,65,95.695,0,0.0583333333333333
2021,4,4,11,56.675,56.75,114.5775,0,0.25
2021,4,4,12,67.0333333333333,43.1666666666667,546.24,0,0.425
2021,4,4,13,73.3,36.25,654.620833333333,0,0.408333333333333
2021,4,4,14,75.2,33.5,634.096666666667,0,0.958333333333333
2021,4,4,15,76.55,27,632.0075,0,0.866666666666667
2021,4,4,16,76.5666666666667,25.0833333333333,538.095,0,1.23333333333333
2021,4,4,17,77.2,26.1666666666667,405.594166666667,0,1.1
2021,4,4,18,75.1,26.5,251.265833333333,0,1
2021,4,4,19,72.0833333333333,29.9166666666667,106.736666666667,0,0.741666666666667
2021,4,4,20,68.7583333333333,32.8333333333333,15.9841666666667,0,0.516666666666667
2021,4,4,21,62.6083333333333,41.6666666666667,0.4175,0,0
2021,4,4,22,57.1666666666667,50.8333333333333,0,0,0
2021,4,4,23,54.7666666666667,55.5833333333333,0,0,0
2021,4,4,24,53.25,58.5,0,0,0
2021,4,5,1,52.2,63,0,0,0
2021,4,5,2,49.6,70.4166666666667,0,0,0
2021,4,5,3,48.5916666666667,71.9166666666667,0,0,0
2021,4,5,4,47.9166666666667,75.4166666666667,0,0,0
2021,4,5,5,49.05,76.3333333333333,0,0,0
2021,4,5,6,55.7166666666667,65.3333333333333,0,0,0.0333333333333333
2021,4,5,7,57.8416666666667,61.1666666666667,0,0,0.483333333333333
2021,4,5,8,59.5583333333333,56.25,1.16083333333333,0,0.233333333333333
2021,4,5,9,59.625,57.5833333333333,26.5841666666667,0,0.683333333333333
2021,4,5,10,61.6166666666667,55.25,85.6125,0,0.475
2021,4,5,11,64.225,52.9166666666667,149.320833333333,0,0.5
2021,4,5,12,69.5,48,348.350833333333,0,0.633333333333333
2021,4,5,13,72.9916666666667,44.6666666666667,421.478333333333,0,0.5
2021,4,5,14,75,45.6666666666667,326.440833333333,0,0.625
2021,4,5,15,73,48.6666666666667,143.558333333333,0,1.25
2021,4,5,16,70.025,55.8333333333333,97.0816666666667,0,0.625
2021,4,5,17,69.6166666666667,57,57.6983333333333,0,0.575
2021,4,5,18,67.7166666666667,65.1666666666667,48.9625,0,0.208333333333333
2021,4,5,19,66.4083333333333,68.4166666666667,19.99,0,0
2021,4,5,20,65.825,65.25,10.4183333333333,0,0.0166666666666667
2021,4,5,21,63.7083333333333,65.3333333333333,0.285,0,0.0333333333333333
2021,4,5,22,62.125,69.3333333333333,0,0,0
2021,4,5,23,58.6583333333333,77.5,0,0,0.166666666666667
2021,4,5,24,55.0166666666667,84.4166666666667,0,0,0
2021,4,6,1,51.5916666666667,89.5,0,0,0
2021,4,6,2,49.6583333333333,92.5833333333333,0,0,0
